years,months,days,hours,mins,secs,msecs
2021,12,6,4,0,0,0
2021,12,6,4,10,0,0
2021,12,6,4,20,0,0
2021,12,6,4,30,0,0
2021,12,6,4,40,0,0
2021,12,6,4,50,0,0
2021,12,6,5,0,0,0
2021,12,6,5,10,0,0
2021,12,6,5,20,0,0
2021,12,6,5,30,0,0
2021,12,6,5,40,0,0
2021,12,6,5,50,0,0
2021,12,6,6,0,0,0
2021,12,6,6,10,0,0
2021,12,6,6,20,0,0
2021,12,7,4,0,0,0
2021,12,7,4,10,0,0
2021,12,7,4,20,0,0
2021,12,7,4,30,0,0
2021,12,7,4,40,0,0
2021,12,7,4,50,0,0
2021,12,7,5,0,0,0
2021,12,7,5,10,0,0
2021,12,7,5,20,0,0
2021,12,7,5,30,0,0
2021,12,7,5,40,0,0
2021,12,7,5,50,0,0
2021,12,7,6,0,0,0
2021,12,7,6,10,0,0
2021,12,7,6,20,0,0
2021,12,7,6,30,0,0
2021,12,9,12,10,0,0
2021,12,9,12,20,0,0
2021,12,9,12,30,0,0
2021,12,9,12,40,0,0
2021,12,9,12,50,0,0
2021,12,9,13,0,0,0
2021,12,9,13,10,0,0
2021,12,9,13,20,0,0
2021,12,9,13,30,0,0
2021,12,9,13,40,0,0
2021,12,9,13,50,0,0
2021,12,9,14,0,0,0
2021,12,10,4,0,0,0
2021,12,10,4,10,0,0
2021,12,10,4,20,0,0
2021,12,10,4,30,0,0
2021,12,10,4,40,0,0
2021,12,10,4,50,0,0
2021,12,10,14,10,0,0
2021,12,10,14,20,0,0
2021,12,10,14,30,0,0
2021,12,10,14,40,0,0
2021,12,10,14,50,0,0
2021,12,10,15,0,0,0
2021,12,10,15,10,0,0
2021,12,10,15,20,0,0
2021,12,10,15,30,0,0
2021,12,10,15,40,0,0
2021,12,10,15,50,0,0
2021,12,10,16,0,0,0
2021,12,10,16,10,0,0
2021,12,10,16,20,0,0
2021,12,10,16,30,0,0
2021,12,10,16,40,0,0
2021,12,10,16,50,0,0
2021,12,11,4,0,0,0
2021,12,11,4,10,0,0
2021,12,11,4,20,0,0
2021,12,11,4,30,0,0
2021,12,11,4,40,0,0
2021,12,11,4,50,0,0
2021,12,11,5,0,0,0
2021,12,11,5,10,0,0
2021,12,11,11,20,0,0
2021,12,11,11,30,0,0
2021,12,11,11,40,0,0
2021,12,11,11,50,0,0
2021,12,11,12,0,0,0
2021,12,11,12,10,0,0
2021,12,11,12,20,0,0
2021,12,11,12,30,0,0
2021,12,11,12,40,0,0
2021,12,11,12,50,0,0
2021,12,11,13,0,0,0
2021,12,11,13,10,0,0
2021,12,11,13,20,0,0
2021,12,11,13,30,0,0
2021,12,11,13,40,0,0
2021,12,11,13,50,0,0
2021,12,11,14,0,0,0
2021,12,11,14,10,0,0
2021,12,11,14,20,0,0
2021,12,11,14,30,0,0
2021,12,11,14,40,0,0
2021,12,11,14,50,0,0
2021,12,11,15,0,0,0
2021,12,11,15,10,0,0
2021,12,11,15,20,0,0
2021,12,11,15,30,0,0
2021,12,11,15,40,0,0
2021,12,11,15,50,0,0
2021,12,11,16,0,0,0
2021,12,11,16,10,0,0
2021,12,12,4,0,0,0
2021,12,12,4,10,0,0
2021,12,12,4,20,0,0
2021,12,12,4,30,0,0
2021,12,12,4,40,0,0
2021,12,12,4,50,0,0
2021,12,12,5,0,0,0
2021,12,12,5,10,0,0
2021,12,12,5,20,0,0
2021,12,12,5,30,0,0
2021,12,12,5,40,0,0
2021,12,12,5,50,0,0
2021,12,12,6,0,0,0
2021,12,12,6,10,0,0
2021,12,12,6,20,0,0
2021,12,12,6,30,0,0
2021,12,12,6,40,0,0
2021,12,12,6,50,0,0
2021,12,12,7,0,0,0
2021,12,12,7,10,0,0
2021,12,12,7,20,0,0
2021,12,12,7,30,0,0
2021,12,12,7,40,0,0
2021,12,12,7,50,0,0
2021,12,12,8,0,0,0
2021,12,12,8,10,0,0
2021,12,12,8,20,0,0
2021,12,12,8,30,0,0
2021,12,12,11,30,0,0
2021,12,12,11,40,0,0
2021,12,12,11,50,0,0
2021,12,12,12,0,0,0
2021,12,12,12,10,0,0
2021,12,12,12,20,0,0
2021,12,12,12,30,0,0
2021,12,12,12,40,0,0
2021,12,12,12,50,0,0
2021,12,12,13,0,0,0
2021,12,12,13,10,0,0
2021,12,12,13,20,0,0
2021,12,12,13,30,0,0
2021,12,12,13,40,0,0
2021,12,12,13,50,0,0
2021,12,12,14,0,0,0
2021,12,12,14,10,0,0
2021,12,12,14,20,0,0
2021,12,12,14,30,0,0
2021,12,13,4,0,0,0
2021,12,13,4,10,0,0
2021,12,13,4,20,0,0
2021,12,13,4,30,0,0
2021,12,13,4,40,0,0
2021,12,13,7,10,0,0
2021,12,13,7,20,0,0
2021,12,13,7,30,0,0
2021,12,13,7,40,0,0
2021,12,13,7,50,0,0
2021,12,13,8,0,0,0
2021,12,13,8,10,0,0
2021,12,13,8,20,0,0
2021,12,13,8,30,0,0
2021,12,13,8,40,0,0
2021,12,13,8,50,0,0
2021,12,13,9,0,0,0
2021,12,13,9,10,0,0
2021,12,13,9,20,0,0
2021,12,13,9,30,0,0
2021,12,13,9,40,0,0
2021,12,13,9,50,0,0
2021,12,13,10,0,0,0
2021,12,13,10,10,0,0
2021,12,13,10,20,0,0
2021,12,13,10,30,0,0
2021,12,13,10,40,0,0
2021,12,13,10,50,0,0
2021,12,13,11,40,0,0
2021,12,13,11,50,0,0
2021,12,13,12,0,0,0
2021,12,13,12,10,0,0
2021,12,13,12,20,0,0
2021,12,13,12,30,0,0
2021,12,13,12,40,0,0
2021,12,13,12,50,0,0
2021,12,13,13,0,0,0
2021,12,13,13,10,0,0
2021,12,13,13,20,0,0
2021,12,13,13,30,0,0
2021,12,13,13,40,0,0
2021,12,13,13,50,0,0
2021,12,13,14,0,0,0
2021,12,13,14,10,0,0
2021,12,13,14,20,0,0
2021,12,13,14,30,0,0
2021,12,13,14,40,0,0
2021,12,13,14,50,0,0
2021,12,13,15,0,0,0
2021,12,13,15,10,0,0
2021,12,13,15,20,0,0
2021,12,13,15,30,0,0
2021,12,14,4,0,0,0
2021,12,14,4,10,0,0
2021,12,14,4,20,0,0
2021,12,14,4,30,0,0
2021,12,14,4,40,0,0
2021,12,14,4,50,0,0
2021,12,14,5,0,0,0
2021,12,14,5,10,0,0
2021,12,14,5,20,0,0
2021,12,15,4,0,0,0
2021,12,15,4,10,0,0
2021,12,15,4,20,0,0
2021,12,15,4,30,0,0
2021,12,15,4,40,0,0
2021,12,15,4,50,0,0
2021,12,15,5,0,0,0
2021,12,15,5,10,0,0
2021,12,15,5,20,0,0
2021,12,15,5,30,0,0
2021,12,15,5,40,0,0
2021,12,15,5,50,0,0
2021,12,15,6,0,0,0
2021,12,15,6,10,0,0
2021,12,15,6,20,0,0
2021,12,15,6,30,0,0
2021,12,15,6,40,0,0
2021,12,15,6,50,0,0
2021,12,15,7,0,0,0
2021,12,15,7,10,0,0
2021,12,15,7,20,0,0
2021,12,15,7,30,0,0
2021,12,15,7,40,0,0
2021,12,15,7,50,0,0
2021,12,16,4,50,0,0
2021,12,16,5,0,0,0
2021,12,16,5,10,0,0
2021,12,16,5,20,0,0
2021,12,16,5,30,0,0
2021,12,16,5,40,0,0
2021,12,16,5,50,0,0
2021,12,16,6,0,0,0
2021,12,16,6,10,0,0
2021,12,16,6,20,0,0
2021,12,16,6,30,0,0
2021,12,16,6,40,0,0
2021,12,16,6,50,0,0
2021,12,19,4,0,0,0
2021,12,19,4,10,0,0
2021,12,19,4,20,0,0
2021,12,19,4,30,0,0
2021,12,19,4,40,0,0
2021,12,19,4,50,0,0
2021,12,22,8,50,0,0
2021,12,22,9,0,0,0
2021,12,22,9,10,0,0
2021,12,22,9,20,0,0
2021,12,22,9,30,0,0
2021,12,22,9,40,0,0
2021,12,22,9,50,0,0
2021,12,24,5,0,0,0
2021,12,24,5,10,0,0
2021,12,24,5,20,0,0
2021,12,24,5,30,0,0
2021,12,24,5,40,0,0
2021,12,24,5,50,0,0
2021,12,24,6,0,0,0
2021,12,24,6,10,0,0
2021,12,24,6,20,0,0
2021,12,24,6,30,0,0
2021,12,24,6,40,0,0
2021,12,24,6,50,0,0
2021,12,24,7,0,0,0
2021,12,24,7,10,0,0
2021,12,24,7,20,0,0
2021,12,24,7,30,0,0
2021,12,24,7,40,0,0
2021,12,24,7,50,0,0
2021,12,24,8,0,0,0
2021,12,25,4,10,0,0
2021,12,25,4,20,0,0
2021,12,25,4,30,0,0
2021,12,25,4,40,0,0
2021,12,25,4,50,0,0
2021,12,25,5,0,0,0
2021,12,25,5,10,0,0
2021,12,25,5,20,0,0
2021,12,25,5,30,0,0
2021,12,25,5,40,0,0
2021,12,25,5,50,0,0
2021,12,25,6,0,0,0
2021,12,26,5,30,0,0
2021,12,26,5,40,0,0
2021,12,26,5,50,0,0
2021,12,26,6,0,0,0
2021,12,26,6,10,0,0
2021,12,26,6,20,0,0
2021,12,26,6,30,0,0
2021,12,26,6,40,0,0
2021,12,26,6,50,0,0
2021,12,26,7,0,0,0
2021,12,26,7,10,0,0
2021,12,26,7,20,0,0
2021,12,26,7,30,0,0
2021,12,26,7,40,0,0
2021,12,26,7,50,0,0
2021,12,26,8,0,0,0
2021,12,26,8,10,0,0
2021,12,26,8,20,0,0
2021,12,26,8,30,0,0
2021,12,26,8,40,0,0
2021,12,26,8,50,0,0
2021,12,26,9,0,0,0
2021,12,26,9,10,0,0
2021,12,26,9,20,0,0
2021,12,26,9,30,0,0
2021,12,26,9,40,0,0
2021,12,26,9,50,0,0
2021,12,26,10,0,0,0
2021,12,26,10,10,0,0
2021,12,26,10,20,0,0
2021,12,26,10,30,0,0
2021,12,26,10,40,0,0
2021,12,26,10,50,0,0
2021,12,26,11,0,0,0
2021,12,26,11,10,0,0
2021,12,26,11,20,0,0
2021,12,26,11,30,0,0
2021,12,26,11,40,0,0
2021,12,26,11,50,0,0
2021,12,26,12,0,0,0
2021,12,26,12,10,0,0
2021,12,26,12,20,0,0
